"fr_news_mif","1725000"
"fr_news_extreme","1554000"
"fr_news_summer","1485069"
"fr_news_animals","1335000"
"fr_news_champion","840000"
"fr_news_kids","240000"
"fr_news_corse","5130"
"fr_news_basket","3342"
"fr_news_sale","108"
"fr_news_food","105"
"fr_news_cotton","75"
"fr_news_kitchen","69"
"fr_news_home","69"
"fr_news_apero","69"
"fr_news_bento","63"
"fr_news_fete_nat","57"
"fr_news_discount","57"
"fr_news_nuts","33"
"fr_news_shine","27"
"fr_news_sale_last","24"
"fr_news_sale_followup","24"
"fr_news_sale_final","24"
"fr_news_drinks","24"
"crm_back_in_stock","3"
"fr_news_zero","0"
